text,intent,topic
"Hi","greeting","general"
"Hello","greeting","general"
"Hey","greeting","general"
"Good morning","greeting","general"
"Good afternoon","greeting","general"
"Good evening","greeting","general"
"Hi there","greeting","general"
"Hello there","greeting","general"
"Hey there","greeting","general"
"How are you","greeting","general"
"Can you help me","greeting","general"
"I need some help","greeting","general"
"Start a conversation","greeting","general"
"Nice to meet you","greeting","general"
"Are you available","greeting","general"
"What is NLP","definition","NLP"
"What is natural language processing","definition","NLP"
"Define NLP","definition","NLP"
"Define natural language processing","definition","NLP"
"What is tokenization","definition","NLP"
"Define tokenization","definition","NLP"
"What is stemming","definition","NLP"
"Define stemming","definition","NLP"
"What is lemmatization","definition","NLP"
"Define lemmatization","definition","NLP"
"What are stop words","definition","NLP"
"What is sentiment analysis","definition","NLP"
"What is text classification","definition","NLP"
"What is machine learning","definition","Machine Learning"
"What is DBMS","definition","DBMS"
"What is normalization","definition","DBMS"
"Explain NLP","explanation","NLP"
"Explain natural language processing","explanation","NLP"
"Explain tokenization","explanation","NLP"
"Explain stemming","explanation","NLP"
"Explain lemmatization","explanation","NLP"
"Explain stop word removal","explanation","NLP"
"Explain sentiment analysis","explanation","NLP"
"Explain text classification","explanation","NLP"
"Explain machine learning","explanation","Machine Learning"
"Explain DBMS","explanation","DBMS"
"Explain normalization","explanation","DBMS"
"Explain database management system","explanation","DBMS"
"Explain 1NF","explanation","DBMS"
"Explain 2NF","explanation","DBMS"
"Explain Python","explanation","Python"
"Give an example of NLP","example","NLP"
"Give an example of tokenization","example","NLP"
"Give an example of stemming","example","NLP"
"Give an example of lemmatization","example","NLP"
"Give an example of stop words","example","NLP"
"Give an example of sentiment analysis","example","NLP"
"Give an example of text classification","example","NLP"
"Give an example of machine learning","example","Machine Learning"
"Give an example of DBMS","example","DBMS"
"Give an example of normalization","example","DBMS"
"Give an example of Python","example","Python"
"Show me an NLP example","example","NLP"
"Can you provide a tokenization example","example","NLP"
"Show an example of stemming","example","NLP"
"Summarize NLP","summary","NLP"
"Give me a summary of NLP","summary","NLP"
"Give me short notes on NLP","summary","NLP"
"Give me a short summary of tokenization","summary","NLP"
"Summarize tokenization","summary","NLP"
"Summarize stemming","summary","NLP"
"Summarize lemmatization","summary","NLP"
"Give short notes on sentiment analysis","summary","NLP"
"Summarize machine learning","summary","Machine Learning"
"Give me short notes on DBMS","summary","DBMS"
"Summarize normalization","summary","DBMS"
"Give me a quick summary of Python","summary","Python"
"Give short notes on Python","summary","Python"
"Briefly explain NLP","summary","NLP"
"Give me a brief summary of tokenization","summary","NLP"
"Compare stemming and lemmatization","comparison","NLP"
"Difference between stemming and lemmatization","comparison","NLP"
"Compare NLP and machine learning","comparison","NLP"
"Difference between tokenization and stemming","comparison","NLP"
"Compare supervised and unsupervised learning","comparison","Machine Learning"
"Difference between 1NF and 2NF","comparison","DBMS"
"Compare 1NF and 2NF","comparison","DBMS"
"Difference between DBMS and RDBMS","comparison","DBMS"
"Compare Python and Java","comparison","Programming"
"Difference between Python and Java","comparison","Programming"
"Compare SQL and NoSQL","comparison","DBMS"
"What is the difference between stemming and lemmatization","comparison","NLP"
"Thanks","thanks","general"
"Thank you","thanks","general"
"Thanks for helping me","thanks","general"
"Thank you for the explanation","thanks","general"
"That was helpful","thanks","general"
"Thanks a lot","thanks","general"
"I appreciate your help","thanks","general"
"Great, thank you","thanks","general"
"Okay thanks","thanks","general"
"Thank you very much","thanks","general"
"Bye","goodbye","general"
"Goodbye","goodbye","general"
"See you","goodbye","general"
"See you later","goodbye","general"
"I have to go","goodbye","general"
"Talk to you later","goodbye","general"
"End the conversation","goodbye","general"
"Exit","goodbye","general"
"That's all for now","goodbye","general"
"I am leaving","goodbye","general"
